Awheto	Luminosity	Treatment	agar	Growth
4	dark 	Soil + 	 PDA	14.125
4	dark 	Soil + 	 PDA	31.375
4	dark 	Roots + Soil +	 PDA	15.5
4	dark 	Roots + Soil +	 PDA	16
4	dark 	Roots + Soil +	 PDA	16.875
4	dark 	Roots + Soil +	 PDA	17.25
4	dark 	Roots + Soil +	 PDA	15.125
4	dark 	Roots + Soil + Litter +	 PDA	#VALUE!
4	dark 	Roots + Soil + Litter +	 PDA	15.25
4	dark 	Roots + Soil + Litter +	 PDA	16.375
4	dark 	Roots + Soil + Litter +	 PDA	12
4	dark 	Roots + Soil + Litter +	 PDA	14.5
4	dark 	H2O + 	 PDA 	17.75
4	dark 	H2O + 	 PDA 	21.5
4	dark 	H2O + 	 PDA 	19
4	dark 	H2O + 	 PDA 	18.625
4	dark 	H2O + 	 PDA 	18
4	dark 	H2O + 	 PDA 	21
4	dark 	H2O + 	 PDA 	21
4	dark 	H2O + 	 PDA 	19.25
4	dark 	H2O + 	 PDA 	18.125
4	dark 	H2O + 	 PDA 	18
4	dark 	H2O (	plain_agar	0
4	dark 	H2O (	plain_agar	0
4	dark 	H2O (	plain_agar	0
4	dark 	H2O (	plain_agar	0
4	dark 	H2O (	plain_agar	0
4	dark 	H2O (	plain_agar	0
4	dark 	H2O (	plain_agar	0
4	dark 	H2O (	plain_agar	0
4	dark 	H2O (	plain_agar	0
4	dark 	H2O (	plain_agar	0
4	dark 	Leaves	plain_agar	0
4	dark 	Leaves	plain_agar	0
4	dark 	Leaves	plain_agar	0
4	dark 	Leaves	plain_agar	0
4	dark 	Leaves	plain_agar	0
4	dark 	Litter	plain_agar	0
4	dark 	Litter	plain_agar	0
4	dark 	Litter	plain_agar	0
4	dark 	Litter	plain_agar	0
4	dark 	Litter	plain_agar	0
4	dark 	Seeds	plain_agar	0
4	dark 	Seeds	plain_agar	0
4	dark 	Seeds	plain_agar	0
4	dark 	Seeds	plain_agar	3.25
4	dark 	Seeds	plain_agar	7
4	dark 	Berries	plain_agar	7.625
4	dark 	Berries	plain_agar	0
4	dark 	Berries	plain_agar	0
4	dark 	Berries	plain_agar	0
4	dark 	Berries	plain_agar	6.375
4	dark 	Seeds + Berries	plain_agar	6.625
4	dark 	Seeds + Berries	plain_agar	6.125
4	dark 	Seeds + Berries	plain_agar	6.75
4	dark 	Seeds + Berries	plain_agar	6.125
4	dark 	Seeds + Berries	plain_agar	6.875
4	dark 	Roots	plain_agar	0
4	dark 	Roots	plain_agar	0
4	dark 	Roots	plain_agar	0
4	dark 	Roots	plain_agar	0
4	dark 	Roots	plain_agar	0
4	dark 	Soil	plain_agar	0
4	dark 	Soil	plain_agar	0
4	dark 	Soil	plain_agar	0
4	dark 	Soil	plain_agar	0
4	dark 	Soil	plain_agar	0
4	dark 	Roots + Soil	plain_agar	2.75
4	dark 	Roots + Soil	plain_agar	0
4	dark 	Roots + Soil	plain_agar	0.75
4	dark 	Roots + Soil	plain_agar	0.5
4	dark 	Roots + Soil	plain_agar	0
4	dark 	Soil + Litter	plain_agar	2.5
4	dark 	Soil + Litter	plain_agar	0
4	dark 	Soil + Litter	plain_agar	0
4	dark 	Soil + Litter	plain_agar	0
4	dark 	Soil + Litter	plain_agar	9.375
4	dark 	Soil + Litter + Roots	plain_agar	4
4	dark 	Soil + Litter + Roots	plain_agar	3.5
4	dark 	Soil + Litter + Roots	plain_agar	10.5
4	dark 	Soil + Litter + Roots	plain_agar	10.25
4	dark 	Soil + Litter + Roots	plain_agar	10.25
5	light	Roots + Soil + 	 PDA	13.5
5	light	Roots + Soil + 	 PDA	16.625
5	light	Roots + Soil + 	 PDA	19.375
5	light	Roots + Soil + 	 PDA	21.375
5	light	Roots + Soil + 	 PDA	19.875
5	light	Soil + Litter +	 PDA	19
5	light	Soil + Litter +	 PDA	16.125
5	light	Soil + Litter +	 PDA	14.5
5	light	Soil + Litter +	 PDA	0
5	light	Soil + Litter +	 PDA	0
5	light	Soil + Litter + Roots +	 PDA	13.5
5	light	Soil + Litter + Roots +	 PDA	17
5	light	Soil + Litter + Roots +	 PDA	17.125
5	light	Soil + Litter + Roots +	 PDA	17.75
5	light	Soil + Litter + Roots +	 PDA	16.625
5	light	Leaves + 	 PDA	0
5	light	Leaves + 	 PDA	0
5	light	Leaves + 	 PDA	#VALUE!
5	light	Leaves + 	 PDA	0
5	light	Leaves + 	 PDA	0
5	light	Seeds + 	 PDA	16.25
5	light	Seeds + 	 PDA	18.375
5	light	Seeds + 	 PDA	18.375
5	light	Seeds + 	 PDA	17.625
5	light	Seeds + 	 PDA	18.25
5	light	Berries + 	 PDA	17.75
5	light	Berries + 	 PDA	17.125
5	light	Berries + 	 PDA	17.5
5	light	Berries + 	 PDA	16.5
5	light	Berries + 	 PDA	16.5
5	light	Seeds + Berries + 	 PDA	16.375
5	light	Seeds + Berries + 	 PDA	15.5
5	light	Seeds + Berries + 	 PDA	14.625
5	light	Seeds + Berries + 	 PDA	14.625
5	light	Seeds + Berries + 	 PDA	16.875
5	light	Roots + 	 PDA	17.75
5	light	Roots + 	 PDA	17.625
5	light	Roots + 	 PDA	18.5
5	light	Roots + 	 PDA	17.75
5	light	Roots + 	 PDA	17.625
5	light	Litter + 	 PDA	18.75
5	light	Litter + 	 PDA	19
5	light	Litter + 	 PDA	17.25
5	light	Litter + 	 PDA	17.25
5	light	Litter + 	 PDA	18.5
5	light	Soil + 	 PDA	19
5	light	Soil + 	 PDA	18
5	light	Soil + 	 PDA	18.75
5	light	Soil + 	 PDA	19.125
5	light	Soil + 	 PDA	18.75
5	light	H2O + 	 PDA 	22.625
5	light	H2O + 	 PDA 	22
5	light	H2O + 	 PDA 	18.875
5	light	H2O + 	 PDA 	0
5	light	H2O + 	 PDA 	0
5	light	H2O + 	 PDA 	20.5
5	light	H2O + 	 PDA 	21.875
5	light	H2O + 	 PDA 	23.25
5	light	H2O  (	plain_agar	0
